"","nom","Briancon_PS","Scalli","Adrada","Menendez","Moudenc_DVD","Leonardelli_RN","Cottrel","Meilhac","Piquemal_LFI","Pedinotti","NonVotants_R1"
"136A","Gymnase Petit Capitole",157,2,0,1,213,39,7,8,104,5,426
"080","Gymnase Jean Moulin",140,0,3,1,143,21,10,9,141,6,521
"240A","École élémentaire Henri Guillaumet",69,0,4,2,123,39,2,8,79,4,402
"021","École élémentaire Bonnefoy",195,2,3,1,225,28,3,4,273,8,400
"129","Gymnase Montané",151,0,2,0,193,39,5,10,264,10,369
"046","Groupe Scolaire Bonhoure",38,1,2,2,49,11,3,2,76,1,331
"150","Gymnase Montané",145,1,0,1,163,17,1,12,209,6,349
"082","École élémentaire Le Pastel",184,2,2,0,232,23,9,13,134,11,434
"247","École élémentaire La Terrasse",175,1,1,1,365,30,7,7,98,2,338
"236","École élémentaire Château de l'Hers",120,1,1,0,196,30,9,8,82,6,300
"194","École élémentaire Cuvier",147,5,1,0,233,62,8,18,146,11,509
"117","Gymnase Montané",148,2,4,3,158,12,5,14,201,5,574
"248","École élémentaire La Terrasse",127,1,1,1,288,43,8,9,76,5,411
"064","École élémentaire Sauzelong",150,3,8,3,122,20,4,10,143,6,372
"245","École élémentaire La Terrasse",128,1,0,1,347,38,11,17,87,2,399
"227","École élémentaire Armand Leygue",167,2,0,2,182,28,2,13,191,10,414
"081A","Gymnase Jean Moulin",179,2,4,0,201,23,7,9,178,10,519
"163","École élémentaire Alfred de Musset",96,1,1,1,89,18,2,1,92,5,433
"005","Salle Barcelone",121,0,1,3,185,13,3,9,208,7,401
"174","École élémentaire des Sept Deniers",144,1,2,1,169,37,5,5,132,8,406
"060","École élémentaire Fabre",160,2,1,0,305,14,8,4,162,6,389
"178","Groupe Scolaire Château d'Ancely",77,0,2,2,132,42,7,9,70,5,405
"230","École élémentaire Jean Macé",147,2,4,0,326,46,11,11,67,4,431
"190A","École élémentaire Ernest Renan",76,2,2,0,119,37,6,0,156,8,516
"217","École élémentaire La Juncasse",172,0,2,0,228,37,6,13,182,6,445
"186","École élémentaire Lalande",83,3,2,2,204,51,7,3,124,1,588
"052","École élémentaire Jean Jaurès",164,3,3,0,353,23,5,15,142,10,364
"223","École élémentaire Armand Leygue",38,0,0,0,54,4,0,2,22,1,63
"093","Ecole Buffon",112,2,6,0,209,62,12,8,157,9,748
"003","Salle Barcelone",121,1,3,0,169,19,4,11,165,10,290
