"","nom","Moudenc_R2","Piquemal_R2","NonVotants_R2"
"136A","Gymnase Petit Capitole",346,223,378
"080","Gymnase Jean Moulin",242,286,464
"240A","École élémentaire Henri Guillaumet",218,135,374
"021","École élémentaire Bonnefoy",340,446,346
"129","Gymnase Montané",313,376,332
"046","Groupe Scolaire Bonhoure",86,148,282
"150","Gymnase Montané",259,337,296
"082","École élémentaire Le Pastel",367,299,366
"247","École élémentaire La Terrasse",526,201,282
"236","École élémentaire Château de l'Hers",324,184,245
"194","École élémentaire Cuvier",380,273,478
"117","Gymnase Montané",272,348,488
"248","École élémentaire La Terrasse",434,175,346
"064","École élémentaire Sauzelong",216,291,319
"245","École élémentaire La Terrasse",505,184,331
"227","École élémentaire Armand Leygue",295,343,369
"081A","Gymnase Jean Moulin",318,342,459
"163","École élémentaire Alfred de Musset",152,205,379
"005","Salle Barcelone",292,310,336
"174","École élémentaire des Sept Deniers",293,254,352
"060","École élémentaire Fabre",458,293,292
"178","Groupe Scolaire Château d'Ancely",232,155,357
"230","École élémentaire Jean Macé",511,168,350
"190A","École élémentaire Ernest Renan",193,254,471
"217","École élémentaire La Juncasse",339,352,388
"186","École élémentaire Lalande",325,193,537
"052","École élémentaire Jean Jaurès",497,282,286
"223","École élémentaire Armand Leygue",78,48,55
"093","Ecole Buffon",361,276,677
"003","Salle Barcelone",275,257,259
"081","Gymnase Jean Moulin",215,351,594
"065","École élémentaire Sauzelong",346,357,316
"214","École élémentaire La Juncasse",245,197,206
"057","Maison des Associations",273,384,346
"205","École maternelle Reille",250,265,334
"232","École élémentaire Jean Macé",535,137,215
"237","École élémentaire Château de l'Hers",329,220,349
"131","École élémentaire Georges Hyon",87,219,488
"179","École élémentaire Jules Ferry",352,314,453
"040","École élémentaire Calvinhac",438,233,261
"201","École élémentaire La Maourine",378,291,434
"089","École élémentaire Maurice Jacquier",163,240,519
"026","Espace Bonnefoy-Périole",271,240,208
"006","Salle Barcelone",274,312,324
"123","Gymnase Montané",210,288,317
"183","École élémentaire Lalande",258,190,539
"158","Maison Toulouse Services Nord Minimes",329,316,455
"192","École élémentaire Ernest Renan",262,218,701
"100","École maternelle Didier Daurat",120,204,434
"056","Maison des Associations",263,390,392
"226","École élémentaire Armand Leygue",514,319,311
"165","École maternelle des Ponts Jumeaux",248,276,295
